Country,Country_Code,%Gain
Andorra,AND,200.8107325547727
United Arab Emirates,ARE,112.99202932944891
Afghanistan,AFG,138.4021442919103
Antigua & Barbuda,ATG,186.815415821501
Anguilla,AIA,186.0083424011607
Albania,ALB,132.3461583562429
Armenia,ARM,221.4434541034842
Angola,AGO,178.9249440523326
Antarctica,ATA,132.30041303884116
Argentina,ARG,165.95922943388948
American Samoa,ASM,155.89754513019864
Austria,AUT,86.45348434982853
Australia,AUS,59.467944699972634
Aruba,ABW,201.94519287638823
Azerbaijan,AZE,174.29290198199047
Bosnia and Herzegovina,BIH,140.40152858788466
Barbados,BRB,163.18549766275225
Bangladesh,BGD,218.75262254434483
Belgium,BEL,71.42172058848716
Burkina Faso,BFA,304.81354642313545
Bulgaria,BGR,89.43295894193241
Bahrain,BHR,158.79040667361835
Burundi,BDI,309.09090909090907
Benin,BEN,263.95400265369307
Bermuda,BMU,166.10399909368982
Brunei Darussalam,BRN,138.5343722260578
Bolivia,BOL,179.16333942969013
Brazil,BRA,122.82446476418998
Bhutan,BTN,211.94754098360656
Bouvet Island,BVT,303.3785734911926
Botswana,BWA,284.40694466980364
Belarus,BLR,77.17280372614755
Belize,BLZ,271.17666446934743
Canada,CAN,103.48810807933742
Central African Republic,CAF,657.0740839796737
Congo,COG,580.6083650190114
Switzerland,CHE,106.83700499614392
Cote D'ivoire (Ivory Coast),CIV,402.41788321167877
Chile,CHL,164.05858501845404
Cameroon,CMR,446.8815403934701
China,CHN,322.3459020203278
Colombia,COL,222.63705234159778
Costa Rica,CRI,177.45152354570638
Cuba,CUB,264.72826342242473
Christmas Island,CXR,189.48594797660374
Cyprus,CYP,167.66947684490125
Czech Republic,CZE,101.67899125665865
Germany,DEU,65.89610137875884
Djibouti,DJI,226.43620364550597
Denmark,DNK,59.95434365856119
Dominica,DMA,425.6975697569757
Dominican Republic,DOM,212.17735022383084
Algeria,DZA,139.63334838851637
Ecuador,ECU,136.89871923508235
Estonia,EST,126.14452924871588
Egypt,EGY,179.10318028428264
Western Sahara,ESH,188.00445930880713
Eritrea,ERI,399.8407643312102
Spain,ESP,95.0510099055555
Ethiopia,ETH,326.06341840680585
Finland,FIN,65.32218308601313
Fiji,FJI,282.6887110047131
Falkland Islands (Malvinas),FLK,350.0268672756583
Micronesia,FSM,203.71720116618076
Faroe Islands,FRO,342.1020839625491
France,FRA,75.96310004075879
Gabon,GAB,293.3704635285663
United Kingdom (Great Britain),GBR,58.4265761366631
Grenada,GRD,414.6207401978747
Georgia,GEO,161.55806190372726
French Guiana,GUF,267.90661877886095
Ghana,GHA,452.6947212993725
Gibraltar,GIB,314.1313619562127
Greenland,GRL,287.22894771850474
Gambia,GMB,462.46628131021197
Guinea,GIN,542.6200089726334
Guadeloupe,GLP,213.6228850514565
Equatorial Guinea,GNQ,423.70401337792646
Greece,GRC,127.43848691666457
Guatemala,GTM,306.18504112733535
Guam,GUM,229.2310664605873
Guinea-Bissau,GNB,495.0389105058366
Guyana,GUY,352.3566496547583
Hong Kong,HKG,155.81237579114554
Heard & McDonald Islands,HMD,224.07331642255133
Honduras,HND,485.45121392579017
Croatia,HRV,87.71146148913115
Haiti,HTI,262.396006655574
Hungary,HUN,100.45657901575638
Indonesia,IDN,92.65938518335876
Ireland,IRL,84.66906384174767
Israel,ISR,89.66818284798104
India,IND,309.6353043640023
British Indian Ocean Territory,IOT,217.65514870208008
Iraq,IRQ,155.16289196293445
Islamic Republic of Iran,IRN,368.20362973487386
Iceland,ISL,110.54346917741442
Italy,ITA,105.86188600308431
Jamaica,JAM,111.64556303788254
Jordan,JOR,154.904545091461
Japan,JPN,167.30969682158906
Kenya,KEN,336.7326156531859
Kyrgyzstan,KGZ,156.7660767744136
Cambodia,KHM,181.41725220511287
Kiribati,KIR,365.4073199527745
Comoros,COM,416.3039014373717
"Korea, Republic of",KOR,172.39131906222502
Kuwait,KWT,175.47827188648168
Cayman Islands,CYM,248.80456240403598
Kazakhstan,KAZ,126.03939707463535
Laos,LAO,176.25052105043767
Lebanon,LBN,193.95770392749245
Saint Lucia,LCA,116.57837943888563
Liechtenstein,LIE,276.2866015971606
Sri Lanka,LKA,170.05437839864993
Liberia,LBR,422.7211495285137
Lesotho,LSO,509.2270820850809
Lithuania,LTU,78.85200279813863
Luxembourg,LUX,269.05939154208596
Latvia,LVA,91.42660570819832
Morocco,MAR,158.53840863558892
Monaco,MCO,223.0166868649203
"Moldova, Republic of",MDA,108.40383006414427
Madagascar,MDG,242.34757732880388
Marshall Islands,MHL,132.74080198429104
Mali,MLI,201.57381177211207
Myanmar,MMR,140.8934790440735
Mongolia,MNG,145.73627820236223
Macau,MAC,165.07555555555555
Northern Mariana Islands,MNP,105.8598469593234
Martinique,MTQ,85.30166880616174
Mauritania,MRT,146.23392529087567
Malta,MLT,101.46461225871994
Mauritius,MUS,191.67680278019114
Maldives,MDV,172.40029817368617
Malawi,MWI,554.9502357255108
Mexico,MEX,179.87754868488815
Malaysia,MYS,70.22716845233566
Mozambique,MOZ,213.11869293608842
Namibia,NAM,144.98914616497828
New Caledonia,NCL,76.05483625285605
Norfolk Island,NFK,107.82210782210781
Nigeria,NGA,252.33360389610388
Nicaragua,NIC,177.62569453855536
Netherlands,NLD,64.46035050801817
Norway,NOR,57.278529010278724
Nepal,NPL,168.45624999999998
Nauru,NRU,130.75435203094779
Niue,NIU,127.3968705547653
New Zealand,NZL,61.39310969194255
Oman,OMN,132.89203963102153
Panama,PAN,209.92394830612136
Peru,PER,119.29058633903698
French Polynesia,PYF,232.7343370568237
Papua New Guinea,PNG,165.55578555164564
Philippines,PHL,92.03513103503039
Pakistan,PAK,203.2835909719846
Poland,POL,83.8853164942979
Pitcairn,PCN,95.5663430420712
Puerto Rico,PRI,93.17263118857778
Portugal,PRT,84.08661949796623
Palau,PLW,119.71830985915493
Paraguay,PRY,206.9750317959703
Qatar,QAT,135.94929694534875
Reunion,REU,77.30469249456591
Romania,ROU,135.77125046273656
Russian Federation,RUS,89.57431278818495
Rwanda,RWA,122.88207747977864
Saudi Arabia,SAU,108.93405510405209
Solomon Islands,SLB,103.84219554030875
Seychelles,SYC,104.67233009708738
Sudan,SDN,191.89591078066914
Sweden,SWE,42.3970472683921
Singapore,SGP,44.57718882401913
St. Helena,SHN,117.76075857038657
Slovenia,SVN,80.53245387630245
Svalbard & Jan Mayen Islands,SJM,120.74656188605108
Slovakia,SVK,83.51511952233865
Sierra Leone,SLE,225.28553299492384
San Marino,SMR,117.04707560627674
Senegal,SEN,221.9959266802444
Somalia,SOM,166.0465542521994
Suriname,SUR,171.15581316058643
Sao Tome & Principe,STP,107.55429650613786
El Salvador,SLV,206.94175384218005
Syrian Arab Republic,SYR,126.2933185472692
Turks & Caicos Islands,TCA,219.41669996004794
Chad,TCD,548.0956082394092
French Southern Territories,ATF,293.98981324278435
Togo,TGO,135.93603010348073
Thailand,THA,88.51499121462484
Tajikistan,TJK,290.75662527205225
Tokelau,TKL,121.80738226559184
Turkmenistan,TKM,205.64543889845095
Tunisia,TUN,129.48750315576874
Tonga,TON,137.40409207161127
Turkey,TUR,179.96089129420994
Trinidad & Tobago,TTO,94.71209298198917
Tuvalu,TUV,124.67685076380728
Taiwan,TWN,122.74488184842245
"Tanzania, United Republic of",TZA,566.4467483506126
Ukraine,UKR,103.02386369284231
Uganda,UGA,601.4570370953769
United States Minor Outlying,UMI,58.28481117950424
United States,USA,82.98069802845993
Uruguay,URY,143.73792731683213
Uzbekistan,UZB,294.6912704045422
Venezuela,VEN,73.1250492889251
Viet Nam,VNM,249.27887121624596
Vanuatu,VUT,142.19505260164914
Wallis & Futuna Islands,WLF,122.20410065237652
Samoa,WSM,109.13721744667303
Yemen,YEM,173.44660194174756
Mayotte,MYT,136.72854992473657
South Africa,ZAF,93.33543852830678
Zambia,ZMB,160.16266460108443
Zimbabwe,ZWE,156.67983518117327
