Country,Country_Code,User_Count
Andorra,AND,62334
United Arab Emirates,ARE,130136
Afghanistan,AFG,372675
Antigua & Barbuda,ATG,35350
Anguilla,AIA,31541
Albania,ALB,178328
Armenia,ARM,111078
Angola,AGO,64811
Antarctica,ATA,119795
Argentina,ARG,1323711
American Samoa,ASM,96110
Austria,AUT,377311
Australia,AUS,1445073
Aruba,ABW,45947
Azerbaijan,AZE,116665
Bosnia and Herzegovina,BIH,131478
Barbados,BRB,23084
Bangladesh,BGD,83561
Belgium,BEL,500440
Burkina Faso,BFA,21277
Bulgaria,BGR,222292
Bahrain,BHR,24818
Burundi,BDI,16110
Benin,BEN,16458
Bermuda,BMU,23489
Brunei Darussalam,BRN,24185
Bolivia,BOL,108374
Brazil,BRA,4918088
Bahamas,BHS,55631
Bhutan,BTN,23786
Bouvet Island,BVT,13969
Botswana,BWA,23691
Belarus,BLR,585037
Belize,BLZ,22523
Canada,CAN,3020258
Central African Republic,CAF,28307
Congo,COG,62650
Switzerland,CHE,308425
Cote D'ivoire (Ivory Coast),CIV,22026
Chile,CHL,1015939
Cameroon,CMR,26130
China,CHN,11430965
Colombia,COL,468469
Costa Rica,CRI,100160
Cuba,CUB,77647
Christmas Island,CXR,60876
Cyprus,CYP,46355
Czech Republic,CZE,628103
Germany,DEU,3611729
Djibouti,DJI,25968
Denmark,DNK,634123
Dominica,DMA,23362
Dominican Republic,DOM,65551
Algeria,DZA,206921
Ecuador,ECU,160551
Estonia,EST,172148
Egypt,EGY,163761
Western Sahara,ESH,12917
Eritrea,ERI,12556
Spain,ESP,1184418
Ethiopia,ETH,27545
Finland,FIN,462793
Fiji,FJI,51154
Falkland Islands (Malvinas),FLK,16750
Micronesia,FSM,8334
Faroe Islands,FRO,29276
France,FRA,2788899
Gabon,GAB,21895
United Kingdom (Great Britain),GBR,2554985
Grenada,GRD,14044
Georgia,GEO,132419
French Guiana,GUF,14341
Ghana,GHA,29945
Gibraltar,GIB,14565
Greenland,GRL,29108
Gambia,GMB,14596
Guinea,GIN,14324
Guadeloupe,GLP,17980
Equatorial Guinea,GNQ,12527
Greece,GRC,361236
Guatemala,GTM,63702
Guam,GUM,17041
Guinea-Bissau,GNB,12234
Guyana,GUY,15068
Hong Kong,HKG,320515
Heard & McDonald Islands,HMD,39605
Honduras,HND,63902
Croatia,HRV,169770
Haiti,HTI,23958
Hungary,HUN,501384
Indonesia,IDN,1445533
Ireland,IRL,190536
Israel,ISR,217667
India,IND,968894
British Indian Ocean Territory,IOT,18478
Iraq,IRQ,96102
Islamic Republic of Iran,IRN,174654
Iceland,ISL,75583
Italy,ITA,1078601
Jamaica,JAM,81401
Jordan,JOR,63823
Japan,JPN,1607940
Kenya,KEN,30021
Kyrgyzstan,KGZ,67758
Cambodia,KHM,56472
Kiribati,KIR,11826
Comoros,COM,12572
"Korea, Republic of",KOR,1529243
Kuwait,KWT,43487
Cayman Islands,CYM,15902
Kazakhstan,KAZ,557108
Laos,LAO,26509
Lebanon,LBN,54488
Saint Lucia,LCA,11039
Liechtenstein,LIE,16963
Sri Lanka,LKA,43206
Liberia,LBR,11641
Lesotho,LSO,10168
Lithuania,LTU,235219
Luxembourg,LUX,63445
Latvia,LVA,172506
Libya,LBY,19710
Morocco,MAR,86463
Monaco,MCO,34650
"Moldova, Republic of",MDA,89672
Madagascar,MDG,38295
Marshall Islands,MHL,5630
Mali,MLI,9581
Myanmar,MMR,100296
